 Product ID , Work Center , Column1 , Length , Task , Time (min) ,,Sum of Time (min),Column Labels,,,
B3RLED,Assembly,abackp2,4,place & clip back cover,0.71,,Row Labels,4,8,12,Grand Total
B3RLED,Assembly,abackp2,8,place & clip back cover,1.24,,B6RLED,1.83,3.66,5.49,10.98
B3RLED,Assembly,abackp4,12,place & clip back cover,1.77,,B6RLEDPAT,1.83,3.66,5.49,10.98
B6RLED,Assembly,abackp1,4,Place plate & screw,1.83,,B6RVLED,1.83,3.66,5.49,10.98
B6RLED,Assembly,abackp1,8,Place plate & screw,3.66,,BBRLEDPAT,1.83,3.66,5.49,10.98
B6RLED,Assembly,abackp1,12,Place plate & screw,5.49,,BBRVLED,1.83,3.66,5.49,10.98
B6RLEDPAT,Assembly,abackp1,4,Place plate & screw,1.83,,BMRLED,1.83,3.66,5.49,10.98
B6RLEDPAT,Assembly,abackp1,8,Place plate & screw,3.66,,BMRLEDPAT,1.83,3.66,5.49,10.98
B6RLEDPAT,Assembly,abackp1,12,Place plate & screw,5.49,,BMRVLED,1.83,3.66,5.49,10.98
B6RVLED,Assembly,abackp1,4,Place plate & screw,1.83,,BRLED,1.83,3.66,5.49,10.98
B6RVLED,Assembly,abackp1,8,Place plate & screw,3.66,,BRLEDPAT,1.83,3.66,5.49,10.98
B6RVLED,Assembly,abackp1,12,Place plate & screw,5.49,,BRVLED,1.83,3.66,5.49,10.98
BBRLEDPAT,Assembly,abackp1,4,Place plate & screw,1.83,,RAY3,0.71,1.24,1.77,3.72
BBRLEDPAT,Assembly,abackp1,8,Place plate & screw,3.66,,RAY3P,0.71,1.24,1.77,3.72
BBRLEDPAT,Assembly,abackp1,12,Place plate & screw,5.49,,RAY3S,0.71,1.24,1.77,3.72
BBRVLED,Assembly,abackp1,4,Place plate & screw,1.83,,RAY3W,0.71,1.24,1.77,3.72
BBRVLED,Assembly,abackp1,8,Place plate & screw,3.66,,RAY4,0.71,1.24,1.77,3.72
BBRVLED,Assembly,abackp1,12,Place plate & screw,5.49,,RAY4P,0.71,1.24,1.77,3.72
BMRLED,Assembly,abackp1,4,Place plate & screw,1.83,,RAY4S,0.71,1.24,1.77,3.72
BMRLED,Assembly,abackp1,8,Place plate & screw,3.66,,RAY4W,0.71,1.24,1.77,3.72
BMRLED,Assembly,abackp1,12,Place plate & screw,5.49,,RAY6,0.71,1.24,1.77,3.72
BMRLEDPAT,Assembly,abackp1,4,Place plate & screw,1.83,,RAY6P,0.71,1.24,1.77,3.72
BMRLEDPAT,Assembly,abackp1,8,Place plate & screw,3.66,,RAY6S,0.71,1.24,1.77,3.72
BMRLEDPAT,Assembly,abackp1,12,Place plate & screw,5.49,,RAY6W,0.71,1.24,1.77,3.72
BMRVLED,Assembly,abackp1,4,Place plate & screw,1.83,,RAY8,0.71,1.24,1.77,3.72
BMRVLED,Assembly,abackp1,8,Place plate & screw,3.66,,RAY8P,0.71,1.24,1.77,3.72
BMRVLED,Assembly,abackp1,12,Place plate & screw,5.49,,RAY8S,0.71,1.24,1.77,3.72
BRLED,Assembly,abackp1,4,Place plate & screw,1.83,,RAY8W,0.71,1.24,1.77,3.72
BRLED,Assembly,abackp1,8,Place plate & screw,3.66,,B3RLED,0.71,1.24,1.77,3.72
BRLED,Assembly,abackp1,12,Place plate & screw,5.49,,TEK12,1.83,3.66,5.49,10.98
BRLEDPAT,Assembly,abackp1,4,Place plate & screw,1.83,,TEK12LED,1.83,3.66,5.49,10.98
BRLEDPAT,Assembly,abackp1,8,Place plate & screw,3.66,,TEK6,1.83,3.66,5.49,10.98
BRLEDPAT,Assembly,abackp1,12,Place plate & screw,5.49,,TEK6LED,1.83,3.66,5.49,10.98
BRVLED,Assembly,abackp1,4,Place plate & screw,1.83,,CLKLED,2.7,5.1,5.1,12.9
BRVLED,Assembly,abackp1,8,Place plate & screw,3.66,,Grand Total,42.22,81.08,117.54,240.84
BRVLED,Assembly,abackp1,12,Place plate & screw,5.49,,,,,,
CLKLED,Assembly,abackp3,4, place 2 end cover & screw (1screw each) ,0.6,,,,,,
CLKLED,Assembly,abackp3,4, place middle cover & screw (1screw each) ,0,,,,,,
CLKLED,Assembly,abackp3,4, screw 2 spring on housing ,0.8,,,,,,
CLKLED,Assembly,abackp3,4, screw 2 solid bracket on housing ,0.8,,,,,,
CLKLED,Assembly,abackp3,4, place long cover & clip ,0.5,,,,,,
CLKLED,Assembly,abackp3,8,place 2 end cover & screw (1screw each),0.6,,,,,,
CLKLED,Assembly,abackp3,8,place middle cover & screw (1screw each),0.3,,,,,,
CLKLED,Assembly,abackp3,8,screw 2 spring on housing,1.6,,,,,,
CLKLED,Assembly,abackp3,8,screw 2 solid bracket on housing,1.6,,,,,,
CLKLED,Assembly,abackp3,8,place long cover & clip,1,,,,,,
RAY3,Assembly,abackp2,4,place & clip back cover,0.71,,,,,,
RAY3,Assembly,abackp2,8,place & clip back cover,1.24,,,,,,
RAY3,Assembly,abackp2,12,place & clip back cover,1.77,,,,,,
RAY3P,Assembly,abackp2,4,place & clip back cover,0.71,,,,,,
RAY3P,Assembly,abackp2,8,place & clip back cover,1.24,,,,,,
RAY3P,Assembly,abackp2,12,place & clip back cover,1.77,,,,,,
RAY3S,Assembly,abackp2,4,place & clip back cover,0.71,,,,,,
RAY3S,Assembly,abackp2,8,place & clip back cover,1.24,,,,,,
RAY3S,Assembly,abackp2,12,place & clip back cover,1.77,,,,,,
RAY3W,Assembly,abackp2,4,place & clip back cover,0.71,,,,,,
RAY3W,Assembly,abackp2,8,place & clip back cover,1.24,,,,,,
RAY3W,Assembly,abackp2,12,place & clip back cover,1.77,,,,,,
RAY4,Assembly,abackp2,4,place & clip back cover,0.71,,,,,,
RAY4,Assembly,abackp2,8,place & clip back cover,1.24,,,,,,
RAY4,Assembly,abackp2,12,place & clip back cover,1.77,,,,,,
RAY4P,Assembly,abackp2,4,place & clip back cover,0.71,,,,,,
RAY4P,Assembly,abackp2,8,place & clip back cover,1.24,,,,,,
RAY4P,Assembly,abackp2,12,place & clip back cover,1.77,,,,,,
RAY4S,Assembly,abackp2,4,place & clip back cover,0.71,,,,,,
RAY4S,Assembly,abackp2,8,place & clip back cover,1.24,,,,,,
RAY4S,Assembly,abackp2,12,place & clip back cover,1.77,,,,,,
RAY4W,Assembly,abackp2,4,place & clip back cover,0.71,,,,,,
RAY4W,Assembly,abackp2,8,place & clip back cover,1.24,,,,,,
RAY4W,Assembly,abackp2,12,place & clip back cover,1.77,,,,,,
RAY6,Assembly,abackp2,4,place & clip back cover,0.71,,,,,,
RAY6,Assembly,abackp2,8,place & clip back cover,1.24,,,,,,
RAY6,Assembly,abackp2,12,place & clip back cover,1.77,,,,,,
RAY6P,Assembly,abackp2,4,place & clip back cover,0.71,,,,,,
RAY6P,Assembly,abackp2,8,place & clip back cover,1.24,,,,,,
RAY6P,Assembly,abackp2,12,place & clip back cover,1.77,,,,,,
RAY6S,Assembly,abackp2,4,place & clip back cover,0.71,,,,,,
RAY6S,Assembly,abackp2,8,place & clip back cover,1.24,,,,,,
RAY6S,Assembly,abackp2,12,place & clip back cover,1.77,,,,,,
RAY6W,Assembly,abackp2,4,place & clip back cover,0.71,,,,,,
RAY6W,Assembly,abackp2,8,place & clip back cover,1.24,,,,,,
RAY6W,Assembly,abackp2,12,place & clip back cover,1.77,,,,,,
RAY8,Assembly,abackp2,4,place & clip back cover,0.71,,,,,,
RAY8,Assembly,abackp2,8,place & clip back cover,1.24,,,,,,
RAY8,Assembly,abackp2,12,place & clip back cover,1.77,,,,,,
RAY8P,Assembly,abackp2,4,place & clip back cover,0.71,,,,,,
RAY8P,Assembly,abackp2,8,place & clip back cover,1.24,,,,,,
RAY8P,Assembly,abackp2,12,place & clip back cover,1.77,,,,,,
RAY8S,Assembly,abackp2,4,place & clip back cover,0.71,,,,,,
RAY8S,Assembly,abackp2,8,place & clip back cover,1.24,,,,,,
RAY8S,Assembly,abackp2,12,place & clip back cover,1.77,,,,,,
RAY8W,Assembly,abackp2,4,place & clip back cover,0.71,,,,,,
RAY8W,Assembly,abackp2,8,place & clip back cover,1.24,,,,,,
RAY8W,Assembly,abackp2,12,place & clip back cover,1.77,,,,,,
TEK12,Assembly,abackp1,4,place plate(s) & screw,1.83,,,,,,
TEK12,Assembly,abackp1,8,place plate(s) & screw,3.66,,,,,,
TEK12,Assembly,abackp1,12,place plate(s) & screw,5.49,,,,,,
TEK12LED,Assembly,abackp1,4,place plate(s) & screw,1.83,,,,,,
TEK12LED,Assembly,abackp1,8,place plate(s) & screw,3.66,,,,,,
TEK12LED,Assembly,abackp1,12,place plate(s) & screw,5.49,,,,,,
TEK6,Assembly,abackp1,4,place plate(s) & screw,1.83,,,,,,
TEK6,Assembly,abackp1,8,place plate(s) & screw,3.66,,,,,,
TEK6,Assembly,abackp1,12,place plate(s) & screw,5.49,,,,,,
TEK6LED,Assembly,abackp1,4,place plate(s) & screw,1.83,,,,,,
TEK6LED,Assembly,abackp1,8,place plate(s) & screw,3.66,,,,,,
TEK6LED,Assembly,abackp1,12,place plate(s) & screw,5.49,,,,,,
CLKLED,Assembly,abackp3,12,place 2 end cover & screw (1screw each),0.6,,,,,,
CLKLED,Assembly,abackp3,12,place middle cover & screw (1screw each),0.3,,,,,,
CLKLED,Assembly,abackp3,12,screw 2 spring on housing,1.6,,,,,,
CLKLED,Assembly,abackp3,12,screw 2 solid bracket on housing,1.6,,,,,,
CLKLED,Assembly,abackp3,12,place long cover & clip,1,,,,,,
